Day,Order,Target,Location,Fold Change,StDev
1,1,Claudin 1,Duodenum,-0.666427787,0.116297783
1,2,Claudin 1,Prox Jejunum,-0.468570144,0.179552402
1,3,Claudin 1,Mid Jejunum,-4.161716506,0.009749062
1,4,Claudin 1,Dist Jejunum,-0.020300927,0.390999762
1,5,Claudin 1,Ileum,0.802812631,0.149536773
1,6,Claudin 1,Colon,-0.430046833,0.07315814
3,1,Claudin 1,Duodenum,0.315530514,0.025753474
3,2,Claudin 1,Prox Jejunum,0.792525787,0.492464732
3,3,Claudin 1,Mid Jejunum,-0.474371385,0.158004928
3,4,Claudin 1,Dist Jejunum,-0.502354401,0.083459166
3,5,Claudin 1,Ileum,-0.429551978,0.095549485
3,6,Claudin 1,Colon,-0.004967923,0.07383693
7,1,Claudin 1,Duodenum,-0.456737103,0.077835682
7,2,Claudin 1,Prox Jejunum,-0.288178471,0.11003378
7,3,Claudin 1,Mid Jejunum,-0.176004092,0.301586057
7,4,Claudin 1,Dist Jejunum,0.226346657,0.12168158
7,5,Claudin 1,Ileum,-0.211943308,0.242865061
7,6,Claudin 1,Colon,-1.302884206,0.107946461
21,1,Claudin 1,Duodenum,1.445248454,1.396402935
21,2,Claudin 1,Prox Jejunum,0.602160967,0.075356391
21,3,Claudin 1,Mid Jejunum,0.775738467,0.264485558
21,4,Claudin 1,Dist Jejunum,1.296924539,0.044144724
21,5,Claudin 1,Ileum,-0.325380399,0.062671232
21,6,Claudin 1,Colon,0.540100672,0.145644863
1,1,Claudin 2,Duodenum,0.342126368,0.249727754
1,2,Claudin 2,Prox Jejunum,-0.016098836,0.104510921
1,3,Claudin 2,Mid Jejunum,-2.429506202,0.017051559
1,4,Claudin 2,Dist Jejunum,1.595517817,0.819477068
1,5,Claudin 2,Ileum,0.754523481,0.460304948
1,6,Claudin 2,Colon,1.600194886,0.267829758
3,1,Claudin 2,Duodenum,0.124029066,0.103384909
3,2,Claudin 2,Prox Jejunum,0.552759991,0.260367942
3,3,Claudin 2,Mid Jejunum,-0.092212374,0.146791287
3,4,Claudin 2,Dist Jejunum,0.147047117,0.17836319
3,5,Claudin 2,Ileum,-0.233619968,0.044293901
3,6,Claudin 2,Colon,0.994760835,0.026952191
7,1,Claudin 2,Duodenum,0.130055583,0.130309388
7,2,Claudin 2,Prox Jejunum,0.223889983,0.15106432
7,3,Claudin 2,Mid Jejunum,-0.6259447,0.143336276
7,4,Claudin 2,Dist Jejunum,0.568752206,0.249771602
7,5,Claudin 2,Ileum,0.102996672,0.569233086
7,6,Claudin 2,Colon,0.236243202,0.261609418
21,1,Claudin 2,Duodenum,1.999281399,1.470274488
21,2,Claudin 2,Prox Jejunum,-0.007460318,0.120077582
21,3,Claudin 2,Mid Jejunum,-0.356110325,0.128845935
21,4,Claudin 2,Dist Jejunum,-0.306898629,0.096588623
21,5,Claudin 2,Ileum,-1.873284844,0.053337867
21,6,Claudin 2,Colon,-0.260598653,0.081075088
1,1,F11 R,Duodenum,-3.664102205,0.106414795
1,2,F11 R,Prox Jejunum,-3.300508829,0.184025557
1,3,F11 R,Mid Jejunum,-4.429833413,0.015686956
1,4,F11 R,Dist Jejunum,-0.991425532,0.120680535
1,5,F11 R,Ileum,-2.615812618,0.544901455
1,6,F11 R,Colon,-2.349452783,0.321357019
3,1,F11 R,Duodenum,-3.382536546,0.306832585
3,2,F11 R,Prox Jejunum,-3.633397498,0.433938157
3,3,F11 R,Mid Jejunum,-3.75910541,0.532756364
3,4,F11 R,Dist Jejunum,-2.497353276,0.642402951
3,5,F11 R,Ileum,-3.172407633,0.342704132
3,6,F11 R,Colon,-2.928637432,0.415709681
7,1,F11 R,Duodenum,-6.409483997,0.00444573
7,2,F11 R,Prox Jejunum,-6.150366047,0.004036617
7,3,F11 R,Mid Jejunum,-6.810822642,0.002721265
7,4,F11 R,Dist Jejunum,-5.101740321,0.006923673
7,5,F11 R,Ileum,-5.340414794,0.009045696
7,6,F11 R,Colon,-6.269258891,0.005815634
21,1,F11 R,Duodenum,1.626309344,0.515144789
21,2,F11 R,Prox Jejunum,1.105742796,0.435463618
21,3,F11 R,Mid Jejunum,0.742594178,0.184965605
21,4,F11 R,Dist Jejunum,1.071899849,0.120828341
21,5,F11 R,Ileum,0.465589874,0.292318899
21,6,F11 R,Colon,1.143602211,0.404288553
1,1,Cathelicidin 4,Duodenum,-3.724007003,0.019980322
1,2,Cathelicidin 4,Prox Jejunum,-4.170887758,0.006432067
1,3,Cathelicidin 4,Mid Jejunum,-6.779732698,0.002397316
1,4,Cathelicidin 4,Dist Jejunum,-4.809255239,0.007982613
1,5,Cathelicidin 4,Ileum,-3.717209199,0.022552046
1,6,Cathelicidin 4,Colon,-2.463156204,0.104624525
3,1,Cathelicidin 4,Duodenum,-1.615941322,0.050208669
3,2,Cathelicidin 4,Prox Jejunum,-0.898617417,0.178478306
3,3,Cathelicidin 4,Mid Jejunum,-2.88691535,0.009918745
3,4,Cathelicidin 4,Dist Jejunum,-4.553105771,0.007514986
3,5,Cathelicidin 4,Ileum,-2.560668147,0.023304661
3,6,Cathelicidin 4,Colon,0.368532317,0.742193875
7,1,Cathelicidin 4,Duodenum,-0.463096517,0.458310479
7,2,Cathelicidin 4,Prox Jejunum,-2.700206648,0.060156663
7,3,Cathelicidin 4,Mid Jejunum,-2.148943197,0.103775382
7,4,Cathelicidin 4,Dist Jejunum,-3.052307129,0.523933492
7,5,Cathelicidin 4,Ileum,-2.663244342,0.133337996
7,6,Cathelicidin 4,Colon,1.961103275,0.853378884
21,1,Cathelicidin 4,Duodenum,-6.725361277,0.252361561
21,2,Cathelicidin 4,Prox Jejunum,-7.665833455,0.018646414
21,3,Cathelicidin 4,Mid Jejunum,-10.48202829,0.000143363
21,4,Cathelicidin 4,Dist Jejunum,-10.95071191,0.00059635
21,5,Cathelicidin 4,Ileum,-4.855205209,0.019956055
21,6,Cathelicidin 4,Colon,-8.183897425,0.001340718
1,1,Mucin 2,Duodenum,-1.761640252,0.147553407
1,2,Mucin 2,Prox Jejunum,-2.997979886,0.060671775
1,3,Mucin 2,Mid Jejunum,-9.021447347,0.001270978
1,4,Mucin 2,Dist Jejunum,-2.465374754,0.054763914
1,5,Mucin 2,Ileum,-2.374472544,0.084993768
1,6,Mucin 2,Colon,2.241521163,1.215886703
3,1,Mucin 2,Duodenum,-1.728936201,0.118532101
3,2,Mucin 2,Prox Jejunum,-2.452141522,0.07704162
3,3,Mucin 2,Mid Jejunum,-2.777639518,0.032418116
3,4,Mucin 2,Dist Jejunum,-3.110583974,0.063906083
3,5,Mucin 2,Ileum,-3.549967674,0.088789791
3,6,Mucin 2,Colon,1.036252978,0.569125797
7,1,Mucin 2,Duodenum,-0.599612939,0.021573686
7,2,Mucin 2,Prox Jejunum,-2.096671549,0.026958329
7,3,Mucin 2,Mid Jejunum,-2.596706909,0.043207301
7,4,Mucin 2,Dist Jejunum,-1.605860877,0.107333078
7,5,Mucin 2,Ileum,-1.696247681,0.141442984
7,6,Mucin 2,Colon,1.891909951,0.613375688
21,1,Mucin 2,Duodenum,1.615621934,0.721085404
21,2,Mucin 2,Prox Jejunum,-1.299467587,0.045382027
21,3,Mucin 2,Mid Jejunum,-1.696925651,0.017037084
21,4,Mucin 2,Dist Jejunum,-0.673579768,0.054994918
21,5,Mucin 2,Ileum,-3.141653277,0.03480773
21,6,Mucin 2,Colon,2.696914956,0.883166427
1,1,KLF4,Duodenum,0.021519,0.333536878
1,2,KLF4,Prox Jejunum,-1.536053287,0.039760026
1,3,KLF4,Mid Jejunum,-3.462762441,0.008964595
1,4,KLF4,Dist Jejunum,0.475736362,0.514594516
1,5,KLF4,Ileum,-0.303857899,0.033428967
1,6,KLF4,Colon,2.129323819,0.23940667
3,1,KLF4,Duodenum,0.239391371,0.182799973
3,2,KLF4,Prox Jejunum,-0.664795479,0.103950027
3,3,KLF4,Mid Jejunum,-1.029752672,0.139841654
3,4,KLF4,Dist Jejunum,-0.657399848,0.108868927
3,5,KLF4,Ileum,-1.082080409,0.026058194
3,6,KLF4,Colon,1.361155654,0.040060015
7,1,KLF4,Duodenum,1.296411731,0.28101942
7,2,KLF4,Prox Jejunum,-0.921974994,0.081350298
7,3,KLF4,Mid Jejunum,-1.756683494,0.060488772
7,4,KLF4,Dist Jejunum,0.21959185,0.077952879
7,5,KLF4,Ileum,0.198932423,0.543743265
7,6,KLF4,Colon,0.801272084,0.235711179
21,1,KLF4,Duodenum,1.976346715,1.448823945
21,2,KLF4,Prox Jejunum,-1.067793574,0.050610701
21,3,KLF4,Mid Jejunum,-0.994815511,0.006331875
21,4,KLF4,Dist Jejunum,-0.182169235,0.039200567
21,5,KLF4,Ileum,-0.768720856,0.029334519
21,6,KLF4,Colon,1.765701578,0.504888983
1,1,Keratin 8,Duodenum,0.305889435,0.33250027
1,2,Keratin 8,Prox Jejunum,-0.883600812,0.072584081
1,3,Keratin 8,Mid Jejunum,-3.86485679,0.004306715
1,4,Keratin 8,Dist Jejunum,-0.069537259,0.229178118
1,5,Keratin 8,Ileum,-0.183943186,0.223225191
1,6,Keratin 8,Colon,2.148584772,0.513929918
3,1,Keratin 8,Duodenum,0.580270333,0.080379828
3,2,Keratin 8,Prox Jejunum,-0.378488681,0.151485289
3,3,Keratin 8,Mid Jejunum,-1.054927439,0.096866058
3,4,Keratin 8,Dist Jejunum,-0.830513964,0.111713441
3,5,Keratin 8,Ileum,-0.641130851,0.048442952
3,6,Keratin 8,Colon,0.92558629,0.193747021
7,1,Keratin 8,Duodenum,0.936246468,0.354410977
7,2,Keratin 8,Prox Jejunum,-0.414915473,0.099862508
7,3,Keratin 8,Mid Jejunum,-1.009276692,0.120715956
7,4,Keratin 8,Dist Jejunum,0.402556847,0.12181974
7,5,Keratin 8,Ileum,0.162450247,0.540391236
7,6,Keratin 8,Colon,0.197854179,0.265561423
21,1,Keratin 8,Duodenum,1.663733183,0.328854087
21,2,Keratin 8,Prox Jejunum,-0.166514671,0.196171146
21,3,Keratin 8,Mid Jejunum,-0.284396161,0.188544136
21,4,Keratin 8,Dist Jejunum,0.195159176,0.186882324
21,5,Keratin 8,Ileum,-1.360430803,0.034080814
21,6,Keratin 8,Colon,0.481100379,0.204058263
